Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\pla_ori_1030.pdid.pdid 
Operator ID:	 
Sample ID:	PLA 
Comment: 	pla_ori_1031 run 2 
Serial Number:	536N7042301 
Data Collected:	10/31/2023 11:33:23 AM 
Sample Weight:	19.900 mg 
Display Weight:	19.900 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\Pyris\Calibrations\05-25-2023_DiamDSC_He-Cryo_1.pdic 
Date/Time:	 
Initial Conditions 
Temperature:	 0.00 °C 
Y Initial:	20.00 mW 
Sample Rate:	Fast     
Baseline Filename:	C:\Program Files\Pyris\Data\Elena S\DSC 10-30\backgr2_1030.pdid.pdid 
End Condition:	Go To Load 
Total Points in Run:	3479 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Helium at 20.0 ml/min  
	Action occurs Immediately 
1)	Hold for 1.0 min at 0.00°C 
 
2)	Heat from 0.00°C to 220.00°C at 5.00°C/min 
 
3)	Hold for 1.0 min at 220.00°C 
 
4)	Cool from 220.00°C to 0.00°C at 20.00°C/min 
 
5)	Hold for 1.0 min at 0.00°C 
 
1) Diamond DSC Isothermal 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	Heat Flow      
	          	Heat Flow     	Heat Flow     	Temperature	Temperature	Gas Flow     	Calibration 
	7.250000	-0.325610	-2.824332	31.254000	47.161000	0.000000	1.170320 
	7.266667	-0.347378	-2.815204	31.337000	47.245000	0.000000	1.170320 
	7.283333	-0.368678	-2.806426	31.420000	47.332000	0.000000	1.170320 
	7.300000	-0.389627	-2.798234	31.504000	47.421000	0.000000	1.170320 
	7.316667	-0.410225	-2.790510	31.587000	47.508000	0.000000	1.170320 
	7.333333	-0.430354	-2.782669	31.670000	47.592000	0.000000	1.170320 
	7.350000	-0.450132	-2.774477	31.754000	47.681000	0.000000	1.170320 
	7.366667	-0.469677	-2.765816	31.837000	47.767000	0.000000	1.170320 
	7.383333	-0.488636	-2.756922	31.920000	47.853000	0.000000	1.170320 
	7.400000	-0.507244	-2.747793	32.004000	47.941000	0.000000	1.170320 
	7.416667	-0.525384	-2.738665	32.087000	48.024000	0.000000	1.170320 
	7.433333	-0.542939	-2.729887	32.170000	48.113000	0.000000	1.170320 
	7.450000	-0.559908	-2.721695	32.254000	48.199000	0.000000	1.170320 
	7.466667	-0.576176	-2.713737	32.337000	48.286000	0.000000	1.170320 
	7.483333	-0.591624	-2.705545	32.420000	48.375000	0.000000	1.170320 
	7.500000	-0.606370	-2.697235	32.504000	48.460000	0.000000	1.170320 
	7.516667	-0.620297	-2.688926	32.587000	48.546000	0.000000	1.170320 
	7.533333	-0.633404	-2.680500	32.670000	48.633000	0.000000	1.170320 
	7.550000	-0.645342	-2.672074	32.754000	48.721000	0.000000	1.170320 
	7.566667	-0.656460	-2.663647	32.837000	48.805000	0.000000	1.170320 
	7.583333	-0.666173	-2.655338	32.920000	48.891000	0.000000	1.170320 
	7.600000	-0.674600	-2.646795	33.004000	48.981000	0.000000	1.170320 
	7.616667	-0.681739	-2.638017	33.087000	49.067000	0.000000	1.170320 
	7.633333	-0.687590	-2.628889	33.170000	49.151000	0.000000	1.170320 
	7.650000	-0.691920	-2.619877	33.254000	49.238000	0.000000	1.170320 
	7.666667	-0.694729	-2.611100	33.337000	49.326000	0.000000	1.170320 
	7.683333	-0.695665	-2.602674	33.420000	49.414000	0.000000	1.170320 
